aX,aY,aZ,gX,gY,gZ
-0.446,0.877,-0.274,3.967,26.611,-6.348
-0.439,0.895,-0.254,5.371,21.790,-4.456
-0.443,0.891,-0.230,3.723,15.381,0.366
-0.453,0.902,-0.219,3.357,12.573,3.906
-0.478,0.907,-0.185,6.104,12.329,4.028
-0.503,0.929,-0.170,6.653,11.780,3.418
-0.514,0.937,-0.152,4.761,8.301,4.089
-0.514,0.930,-0.143,1.465,4.272,6.042
-0.516,0.925,-0.145,-1.221,2.197,7.690
-0.506,0.930,-0.142,-0.977,2.258,6.470
-0.497,0.935,-0.143,1.038,5.249,2.563
-0.500,0.923,-0.162,2.625,9.827,-0.916
-0.509,0.904,-0.181,3.845,11.169,-2.441
-0.503,0.909,-0.167,4.578,5.798,-2.136
-0.491,0.922,-0.141,2.197,-1.831,0.366
-0.486,0.919,-0.123,-0.732,-6.348,4.028
-0.498,0.923,-0.107,-2.014,-6.042,4.517
-0.494,0.930,-0.101,-1.404,-0.061,-0.244
-0.449,0.909,-0.111,-0.671,8.972,-6.287
-0.157,2.160,0.831,70.801,20.264,69.458
-0.300,2.282,0.913,49.500,35.767,68.176
-0.413,2.333,0.911,27.771,55.115,62.012
-0.514,2.346,0.906,6.653,70.984,55.603
-0.635,2.285,0.844,-19.043,87.219,45.166
-0.609,2.177,0.755,-39.124,111.572,31.799
-0.668,2.032,0.593,-61.279,127.197,31.677
-0.781,1.853,0.410,-81.848,131.042,34.973
-0.847,1.677,0.268,-93.750,125.977,36.560
-0.933,1.537,0.180,-101.990,114.685,40.955
-1.077,1.425,0.109,-112.427,99.731,49.377
-1.243,1.291,0.078,-123.413,85.632,57.739
-1.395,1.158,0.062,-130.981,74.280,62.317
-1.544,1.051,0.041,-135.803,64.697,62.744
-1.709,0.932,0.030,-139.038,55.786,58.960
-1.860,0.817,-0.026,-140.625,50.537,54.199
-1.956,0.693,-0.100,-141.052,49.866,49.194
-2.016,0.556,-0.185,-140.259,49.866,42.603
-2.059,0.412,-0.270,-137.512,47.913,34.485
-2.094,0.274,-0.342,-130.005,43.640,25.146
-2.096,0.174,-0.396,-118.469,39.063,14.343
-2.087,0.065,-0.426,-104.980,34.180,3.174
-2.059,-0.029,-0.394,-91.919,28.992,-7.385
-1.987,-0.089,-0.353,-80.322,25.513,-14.099
-1.944,-0.167,-0.299,-70.862,20.996,-16.174
-1.926,-0.243,-0.252,-64.697,13.306,-14.343
-1.949,-0.285,-0.203,-59.326,0.549,-13.550
-1.971,-0.318,-0.172,-53.894,-9.827,-14.954
-1.965,-0.363,-0.173,-49.011,-16.357,-17.700
-1.949,-0.414,-0.184,-42.542,-21.790,-21.851
-1.924,-0.462,-0.186,-33.569,-28.503,-26.123
-1.915,-0.498,-0.182,-24.536,-35.767,-28.259
-1.908,-0.517,-0.176,-15.503,-43.091,-28.564
-1.874,-0.524,-0.172,-6.470,-50.659,-29.114
-1.815,-0.516,-0.156,2.625,-58.716,-30.945
-1.740,-0.509,-0.129,12.085,-66.467,-32.898
-1.676,-0.489,-0.104,20.325,-72.754,-34.241
-1.641,-0.442,-0.093,27.466,-77.881,-34.973
